,efficiency,quality,end_time,start_time,time_offset,update_time,create_time,sleep_duration_in_hour,Date,week_day,year_month,sleep_start_hour,sleep_wakeup_hour,next_start_time,next_end_time,delta
55,94.902916,,2017-12-16 06:53:00.000,2017-12-16 00:02:00.000,UTC-0500,2017-12-16 07:08:04.768,2017-12-16 07:08:04.768,6.85,2017-12-16,Saturday,2017-12,0,6,2017-12-17 22:31:00.000,2017-12-18 06:42:00.000,15.633333333333333
300,96.34146,,2017-12-18 06:42:00.000,2017-12-17 22:31:00.000,UTC-0500,2017-12-18 06:57:19.246,2017-12-18 06:57:19.246,8.183333333333334,2017-12-17,Sunday,2017-12,22,6,2017-12-19 22:55:00.000,2017-12-22 12:18:00.000,16.216666666666665
78,93.174065,,2017-12-22 12:18:00.000,2017-12-19 22:55:00.000,UTC-0500,2017-12-20 03:57:23.977,2017-12-20 03:57:23.977,13.383333333333333,2017-12-19,Tuesday,2017-12,22,3,2017-12-23 04:48:00.000,2017-12-23 10:10:00.000,16.5
291,93.18885,,2017-12-23 10:10:00.000,2017-12-23 04:48:00.000,UTC-0800,2017-12-23 10:25:03.272,2017-12-23 10:25:03.272,5.366666666666666,2017-12-23,Saturday,2017-12,4,10,2017-12-24 00:31:00.000,2017-12-24 09:17:00.000,14.35
228,94.117645,,2017-12-24 09:17:00.000,2017-12-24 00:31:00.000,UTC-0800,2017-12-24 09:32:13.273,2017-12-24 09:32:13.273,8.766666666666667,2017-12-24,Sunday,2017-12,0,9,2017-12-24 23:52:00.000,2017-12-25 09:15:00.000,14.583333333333334
326,93.26241,,2017-12-25 09:15:00.000,2017-12-24 23:52:00.000,UTC-0800,2017-12-25 09:30:01.316,2017-12-25 09:30:01.316,9.383333333333333,2017-12-24,Sunday,2017-12,23,9,2017-12-25 18:16:00.000,2017-12-25 20:09:00.000,9.016666666666667
214,88.5965,,2017-12-25 20:09:00.000,2017-12-25 18:16:00.000,UTC-0800,2017-12-25 20:11:08.813,2017-12-25 20:11:08.813,1.8833333333333333,2017-12-25,Monday,2017-12,18,20,2017-12-26 05:34:00.000,2017-12-26 12:03:00.000,9.416666666666666
462,92.05128,,2017-12-26 12:03:00.000,2017-12-26 05:34:00.000,UTC-0800,2017-12-26 12:17:55.283,2017-12-26 12:17:55.283,6.483333333333333,2017-12-26,Tuesday,2017-12,5,12,2017-12-28 01:38:00.000,2017-12-28 10:43:00.000,13.583333333333334
363,89.926735,,2017-12-28 10:43:00.000,2017-12-28 01:38:00.000,UTC-0800,2017-12-28 10:44:48.771,2017-12-28 10:44:48.771,9.083333333333334,2017-12-28,Thursday,2017-12,1,10,2017-12-29 04:03:00.000,2017-12-29 12:18:00.000,17.333333333333332
158,90.120964,,2017-12-29 12:18:00.000,2017-12-29 04:03:00.000,UTC-0800,2017-12-29 12:33:04.308,2017-12-29 12:33:04.308,8.25,2017-12-29,Friday,2017-12,4,12,2017-12-30 02:25:00.000,2017-12-30 11:09:00.000,14.116666666666667
292,92.952385,,2017-12-30 11:09:00.000,2017-12-30 02:25:00.000,UTC-0800,2017-12-30 11:11:08.703,2017-12-30 11:11:08.703,8.733333333333333,2017-12-30,Saturday,2017-12,2,11,2017-12-31 00:53:00.000,2017-12-31 10:39:00.000,13.733333333333333
416,89.778534,,2017-12-31 10:39:00.000,2017-12-31 00:53:00.000,UTC-0800,2017-12-31 10:40:38.924,2017-12-31 10:40:38.924,9.766666666666667,2017-12-31,Sunday,2017-12,0,10,2018-01-01 01:20:00.000,2018-01-01 10:29:00.000,14.683333333333334
148,88.6121,,2018-01-01 10:29:00.000,2018-01-01 01:20:00.000,UTC-0800,2018-01-01 06:15:09.322,2018-01-01 06:15:09.322,9.15,2018-01-01,Monday,2018-01,1,6,2018-01-02 02:10:00.000,2018-01-02 08:08:00.000,15.683333333333334
205,93.593315,,2018-01-02 08:08:00.000,2018-01-02 02:10:00.000,UTC-0500,2018-01-02 08:09:49.626,2018-01-02 08:09:49.626,5.966666666666667,2018-01-02,Tuesday,2018-01,2,8,2018-01-02 21:56:00.000,2018-01-03 00:05:00.000,13.8
486,72.72726999999998,,2018-01-03 00:05:00.000,2018-01-02 21:56:00.000,UTC-0500,2018-01-02 23:02:18.717,2018-01-02 23:02:18.717,2.15,2018-01-02,Tuesday,2018-01,21,23,2018-01-03 23:15:00.000,2018-01-04 06:23:00.000,23.166666666666668
94,92.056076,,2018-01-04 06:23:00.000,2018-01-03 23:15:00.000,UTC-0500,2018-01-04 06:23:54.445,2018-01-04 06:23:54.445,7.133333333333334,2018-01-03,Wednesday,2018-01,23,6,2018-01-04 23:54:00.000,2018-01-05 08:41:00.000,17.516666666666666
11,93.75,,2018-01-05 08:41:00.000,2018-01-04 23:54:00.000,UTC-0500,2018-01-05 08:44:59.850,2018-01-05 08:44:59.850,8.783333333333333,2018-01-04,Thursday,2018-01,23,8,2018-01-05 23:14:00.000,2018-01-06 08:52:00.000,14.55
215,92.21453,,2018-01-06 08:52:00.000,2018-01-05 23:14:00.000,UTC-0500,2018-01-06 08:53:19.438,2018-01-06 08:53:19.438,9.633333333333333,2018-01-05,Friday,2018-01,23,8,2018-01-06 23:46:00.000,2018-01-07 03:58:00.000,14.9
356,90.909096,,2018-01-07 03:58:00.000,2018-01-06 23:46:00.000,UTC-0500,2018-01-07 04:12:34.278,2018-01-07 04:12:34.278,4.2,2018-01-06,Saturday,2018-01,23,3,2018-01-07 06:21:00.000,2018-01-07 09:01:00.000,2.3833333333333333
50,91.30435,,2018-01-07 09:01:00.000,2018-01-07 06:21:00.000,UTC-0500,2018-01-07 09:15:59.770,2018-01-07 09:15:59.770,2.6666666666666665,2018-01-07,Sunday,2018-01,6,9,2018-01-07 21:28:00.000,2018-01-08 06:39:00.000,12.45
403,91.66667,,2018-01-08 06:39:00.000,2018-01-07 21:28:00.000,UTC-0500,2018-01-08 06:45:13.936,2018-01-08 06:45:13.936,9.183333333333334,2018-01-07,Sunday,2018-01,21,6,2018-01-08 23:17:00.000,2018-01-09 06:38:00.000,16.633333333333333
180,95.47511,50003.0,2018-01-09 06:38:00.000,2018-01-08 23:17:00.000,UTC-0500,2018-01-09 19:19:59.968,2018-01-09 06:53:22.279,7.35,2018-01-08,Monday,2018-01,23,6,2018-01-09 22:55:00.000,2018-01-10 05:55:00.000,16.283333333333335
65,93.34917,,2018-01-10 05:55:00.000,2018-01-09 22:55:00.000,UTC-0500,2018-01-10 05:58:08.509,2018-01-10 05:58:08.509,7.0,2018-01-09,Tuesday,2018-01,22,5,2018-01-10 22:30:00.000,2018-01-11 06:06:00.000,16.583333333333332
298,91.46608,,2018-01-11 06:06:00.000,2018-01-10 22:30:00.000,UTC-0500,2018-01-11 06:07:35.890,2018-01-11 06:07:35.890,7.6,2018-01-10,Wednesday,2018-01,22,6,2018-01-11 22:34:00.000,2018-01-12 04:54:00.000,16.466666666666665
368,91.33858,,2018-01-12 04:54:00.000,2018-01-11 22:34:00.000,UTC-0500,2018-01-12 04:56:08.470,2018-01-12 04:56:08.470,6.333333333333333,2018-01-11,Thursday,2018-01,22,4,2018-01-12 21:54:00.000,2018-01-13 06:43:00.000,17.0
427,95.84905,,2018-01-13 06:43:00.000,2018-01-12 21:54:00.000,UTC-0500,2018-01-13 06:44:37.870,2018-01-13 06:44:37.870,8.816666666666666,2018-01-12,Friday,2018-01,21,6,2018-01-13 22:25:00.000,2018-01-14 06:07:00.000,15.7
464,94.58239,,2018-01-14 06:07:00.000,2018-01-13 22:25:00.000,UTC-0500,2018-01-14 05:48:27.980,2018-01-14 05:48:27.980,7.7,2018-01-13,Saturday,2018-01,22,5,2018-01-14 22:57:00.000,2018-01-15 05:21:00.000,16.833333333333332
92,91.42857,,2018-01-15 05:21:00.000,2018-01-14 22:57:00.000,UTC-0500,2018-01-15 05:23:30.491,2018-01-15 05:23:30.491,6.4,2018-01-14,Sunday,2018-01,22,5,2018-01-15 22:13:00.000,2018-01-16 05:55:00.000,16.866666666666667
389,93.520515,,2018-01-16 05:55:00.000,2018-01-15 22:13:00.000,UTC-0500,2018-01-16 05:56:14.981,2018-01-16 05:56:14.981,7.7,2018-01-15,Monday,2018-01,22,5,2018-01-16 22:23:00.000,2018-01-17 05:47:00.000,16.466666666666665
161,93.70786,,2018-01-17 05:47:00.000,2018-01-16 22:23:00.000,UTC-0500,2018-01-17 05:49:55.702,2018-01-17 05:49:55.702,7.4,2018-01-16,Tuesday,2018-01,22,5,2018-01-17 22:17:00.000,2018-01-18 05:10:00.000,16.5
479,95.89372,,2018-01-18 05:10:00.000,2018-01-17 22:17:00.000,UTC-0500,2018-01-18 05:12:18.173,2018-01-18 05:12:18.173,6.883333333333334,2018-01-17,Wednesday,2018-01,22,5,2018-01-18 21:38:00.000,2018-01-19 05:55:00.000,16.466666666666665
320,92.36948,50002.0,2018-01-19 05:55:00.000,2018-01-18 21:38:00.000,UTC-0500,2018-01-19 10:00:40.786,2018-01-19 05:56:52.702,8.283333333333333,2018-01-18,Thursday,2018-01,21,5,2018-01-20 22:27:00.000,2018-01-21 06:09:00.000,16.533333333333335
256,92.656586,50003.0,2018-01-21 06:09:00.000,2018-01-20 22:27:00.000,UTC-0500,2018-01-21 08:08:03.027,2018-01-21 06:24:11.322,7.7,2018-01-20,Saturday,2018-01,22,6,2018-01-21 21:32:00.000,2018-01-22 07:20:00.000,15.383333333333333
492,91.30435,,2018-01-22 07:20:00.000,2018-01-21 21:32:00.000,UTC-0500,2018-01-22 06:23:49.072,2018-01-22 06:23:49.072,9.8,2018-01-21,Sunday,2018-01,21,6,2018-01-22 22:23:00.000,2018-01-23 06:15:00.000,15.05
400,93.65751,,2018-01-23 06:15:00.000,2018-01-22 22:23:00.000,UTC-0500,2018-01-23 06:19:01.756,2018-01-23 06:19:01.756,7.866666666666666,2018-01-22,Monday,2018-01,22,6,2018-01-23 23:00:00.000,2018-01-24 05:44:00.000,16.75
406,92.34568,50003.0,2018-01-24 05:44:00.000,2018-01-23 23:00:00.000,UTC-0500,2018-01-25 07:17:39.141,2018-01-24 05:47:38.390,6.733333333333333,2018-01-23,Tuesday,2018-01,23,5,2018-01-24 22:41:00.000,2018-01-25 04:55:00.000,16.95
117,93.066666,50003.0,2018-01-25 04:55:00.000,2018-01-24 22:41:00.000,UTC-0500,2018-01-25 07:18:39.997,2018-01-25 05:09:48.313,6.233333333333333,2018-01-24,Wednesday,2018-01,22,4,2018-01-25 20:56:00.000,2018-01-26 07:13:00.000,16.016666666666666
130,95.631065,50004.0,2018-01-26 07:13:00.000,2018-01-25 20:56:00.000,UTC-0500,2018-01-26 09:02:31.179,2018-01-26 07:27:46.292,10.283333333333333,2018-01-25,Thursday,2018-01,20,7,2018-01-26 23:47:00.000,2018-01-27 06:14:00.000,16.566666666666666
445,90.50445,50003.0,2018-01-27 06:14:00.000,2018-01-26 23:47:00.000,UTC-0500,2018-01-27 08:27:35.366,2018-01-27 05:37:59.282,6.45,2018-01-26,Friday,2018-01,23,5,2018-01-27 23:06:00.000,2018-01-28 06:58:00.000,16.866666666666667
230,92.17759,50004.0,2018-01-28 06:58:00.000,2018-01-27 23:06:00.000,UTC-0500,2018-01-28 07:28:42.293,2018-01-28 06:59:25.213,7.866666666666666,2018-01-27,Saturday,2018-01,23,6,2018-01-28 22:27:00.000,2018-01-29 04:49:00.000,15.483333333333333
106,92.24138,,2018-01-29 04:49:00.000,2018-01-28 22:27:00.000,UTC-0500,2018-01-29 04:29:05.301,2018-01-29 04:29:05.301,6.366666666666666,2018-01-28,Sunday,2018-01,22,4,2018-01-29 21:43:00.000,2018-01-30 06:21:00.000,16.9
381,93.641624,50004.0,2018-01-30 06:21:00.000,2018-01-29 21:43:00.000,UTC-0500,2018-01-30 08:17:47.011,2018-01-30 06:36:10.297,8.633333333333333,2018-01-29,Monday,2018-01,21,6,2018-01-30 21:59:00.000,2018-01-31 06:24:00.000,15.633333333333333
446,95.454544,50004.0,2018-01-31 06:24:00.000,2018-01-30 21:59:00.000,UTC-0500,2018-01-31 08:22:26.345,2018-01-31 06:31:27.503,8.416666666666666,2018-01-30,Tuesday,2018-01,21,6,2018-01-31 22:14:00.000,2018-02-01 06:37:00.000,15.833333333333334
58,92.65873,,2018-02-01 06:37:00.000,2018-01-31 22:14:00.000,UTC-0500,2018-02-01 06:52:05.260,2018-02-01 06:52:05.260,8.383333333333333,2018-01-31,Wednesday,2018-01,22,6,2018-02-01 21:38:00.000,2018-02-02 07:14:00.000,15.016666666666667
223,91.681114,50002.0,2018-02-02 07:14:00.000,2018-02-01 21:38:00.000,UTC-0500,2018-02-02 07:41:38.616,2018-02-02 07:19:57.042,9.6,2018-02-01,Thursday,2018-02,21,7,2018-02-02 21:45:00.000,2018-02-03 04:32:00.000,14.516666666666667
249,95.09804,50003.0,2018-02-03 04:32:00.000,2018-02-02 21:45:00.000,UTC-0500,2018-02-03 04:48:15.220,2018-02-03 04:33:13.816,6.783333333333333,2018-02-02,Friday,2018-02,21,4,2018-02-03 22:17:00.000,2018-02-04 06:09:00.000,17.75
246,94.291756,50004.0,2018-02-04 06:09:00.000,2018-02-03 22:17:00.000,UTC-0500,2018-02-04 06:38:21.946,2018-02-04 06:20:31.660,7.866666666666666,2018-02-03,Saturday,2018-02,22,6,2018-02-04 22:23:00.000,2018-02-05 05:42:00.000,16.233333333333334
83,94.545456,50004.0,2018-02-05 05:42:00.000,2018-02-04 22:23:00.000,UTC-0500,2018-02-05 06:06:18.310,2018-02-05 05:53:49.697,7.316666666666666,2018-02-04,Sunday,2018-02,22,5,2018-02-05 22:24:00.000,2018-02-06 05:32:00.000,16.7
485,90.909096,,2018-02-06 05:32:00.000,2018-02-05 22:24:00.000,UTC-0500,2018-02-06 05:33:58.988,2018-02-06 05:33:58.988,7.133333333333334,2018-02-05,Monday,2018-02,22,5,2018-02-06 22:03:00.000,2018-02-07 06:07:00.000,16.516666666666666
190,91.331924,50003.0,2018-02-07 06:07:00.000,2018-02-06 22:03:00.000,UTC-0500,2018-02-07 08:30:45.789,2018-02-07 06:21:36.349,8.066666666666666,2018-02-06,Tuesday,2018-02,22,6,2018-02-07 22:59:00.000,2018-02-08 05:12:00.000,16.866666666666667
436,87.70053,50003.0,2018-02-08 05:12:00.000,2018-02-07 22:59:00.000,UTC-0500,2018-02-08 05:29:57.638,2018-02-08 05:13:49.145,6.216666666666667,2018-02-07,Wednesday,2018-02,22,5,2018-02-08 22:00:00.000,2018-02-09 04:18:00.000,16.8
18,87.598946,50003.0,2018-02-09 04:18:00.000,2018-02-08 22:00:00.000,UTC-0500,2018-02-09 05:19:20.353,2018-02-09 04:20:11.192,6.3,2018-02-08,Thursday,2018-02,22,4,2018-02-09 22:55:00.000,2018-02-10 05:52:00.000,18.616666666666667
299,92.82297,50003.0,2018-02-10 05:52:00.000,2018-02-09 22:55:00.000,UTC-0500,2018-02-10 06:10:48.126,2018-02-10 06:01:59.172,6.95,2018-02-09,Friday,2018-02,22,5,2018-02-10 11:52:00.000,2018-02-10 14:19:00.000,6.0
243,95.945946,,2018-02-10 14:19:00.000,2018-02-10 11:52:00.000,UTC-0500,2018-02-10 14:33:51.280,2018-02-10 14:33:51.280,2.45,2018-02-10,Saturday,2018-02,11,14,2018-02-10 22:17:00.000,2018-02-11 05:44:00.000,7.966666666666667
333,91.29464,50003.0,2018-02-11 05:44:00.000,2018-02-10 22:17:00.000,UTC-0500,2018-02-11 06:03:21.840,2018-02-11 05:46:01.384,7.45,2018-02-10,Saturday,2018-02,22,5,2018-02-11 22:04:00.000,2018-02-12 06:02:00.000,16.333333333333332
118,93.94572,50003.0,2018-02-12 06:02:00.000,2018-02-11 22:04:00.000,UTC-0500,2018-02-12 08:04:20.886,2018-02-12 06:17:11.299,7.966666666666667,2018-02-11,Sunday,2018-02,22,6,2018-02-12 21:47:00.000,2018-02-13 05:45:00.000,15.75
200,92.90188,50003.0,2018-02-13 05:45:00.000,2018-02-12 21:47:00.000,UTC-0500,2018-02-13 05:56:46.165,2018-02-13 05:46:41.929,7.966666666666667,2018-02-12,Monday,2018-02,21,5,2018-02-13 21:34:00.000,2018-02-14 05:17:00.000,15.816666666666666
450,92.456894,,2018-02-14 05:17:00.000,2018-02-13 21:34:00.000,UTC-0500,2018-02-14 05:19:25.777,2018-02-14 05:19:25.777,7.716666666666667,2018-02-13,Tuesday,2018-02,21,5,2018-02-14 22:21:00.000,2018-02-15 07:08:00.000,17.066666666666666
213,93.371216,50004.0,2018-02-15 07:08:00.000,2018-02-14 22:21:00.000,UTC-0500,2018-02-15 07:13:03.817,2018-02-15 07:09:43.310,8.783333333333333,2018-02-14,Wednesday,2018-02,22,7,2018-02-15 21:52:00.000,2018-02-16 06:52:00.000,14.733333333333333
441,95.194084,50004.0,2018-02-16 06:52:00.000,2018-02-15 21:52:00.000,UTC-0500,2018-02-16 07:10:37.523,2018-02-16 06:54:57.627,9.0,2018-02-15,Thursday,2018-02,21,6,2018-02-16 22:35:00.000,2018-02-17 06:32:00.000,15.716666666666667
398,93.93305,50004.0,2018-02-17 06:32:00.000,2018-02-16 22:35:00.000,UTC-0500,2018-02-17 06:37:15.415,2018-02-17 06:36:30.204,7.95,2018-02-16,Friday,2018-02,22,6,2018-02-17 22:45:00.000,2018-02-18 06:30:00.000,16.216666666666665
135,93.99142,50004.0,2018-02-18 06:30:00.000,2018-02-17 22:45:00.000,UTC-0500,2018-02-18 06:36:05.374,2018-02-18 06:31:16.175,7.75,2018-02-17,Saturday,2018-02,22,6,2018-02-18 17:43:00.000,2018-02-18 19:04:00.000,11.216666666666667
192,90.2439,,2018-02-18 19:04:00.000,2018-02-18 17:43:00.000,UTC-0500,2018-02-18 19:05:36.322,2018-02-18 19:05:36.322,1.35,2018-02-18,Sunday,2018-02,17,19,2018-02-19 21:12:00.000,2018-02-20 00:40:00.000,2.1333333333333333
142,89.952156,,2018-02-20 00:40:00.000,2018-02-19 21:12:00.000,UTC-0500,2018-02-20 00:54:55.283,2018-02-20 00:54:55.283,3.466666666666667,2018-02-19,Monday,2018-02,21,0,2018-02-21 22:00:00.000,2018-02-22 05:10:00.000,21.333333333333332
448,91.1833,,2018-02-22 05:10:00.000,2018-02-21 22:00:00.000,UTC-0500,2018-02-22 05:24:40.283,2018-02-22 05:24:40.283,7.166666666666667,2018-02-21,Wednesday,2018-02,22,5,2018-02-22 21:40:00.000,2018-02-23 04:44:00.000,16.5
360,95.76471,,2018-02-23 04:44:00.000,2018-02-22 21:40:00.000,UTC-0500,2018-02-23 04:45:49.249,2018-02-23 04:45:49.249,7.066666666666666,2018-02-22,Thursday,2018-02,21,4,2018-02-24 02:05:00.000,2018-02-24 06:46:00.000,21.35
488,91.81495,,2018-02-24 06:46:00.000,2018-02-24 02:05:00.000,UTC-0500,2018-02-24 06:46:11.159,2018-02-24 06:46:11.159,4.683333333333334,2018-02-24,Saturday,2018-02,2,6,2018-02-25 01:15:00.000,2018-02-25 08:28:00.000,18.483333333333334
5,87.78801999999997,,2018-02-25 08:28:00.000,2018-02-25 01:15:00.000,UTC-0500,2018-02-25 08:30:16.332,2018-02-25 08:30:16.332,7.216666666666667,2018-02-25,Sunday,2018-02,1,8,2018-02-25 23:16:00.000,2018-02-26 05:53:00.000,14.8
61,95.9799,50003.0,2018-02-26 05:53:00.000,2018-02-25 23:16:00.000,UTC-0500,2018-02-26 07:36:56.131,2018-02-26 05:54:38.160,6.616666666666666,2018-02-25,Sunday,2018-02,23,5,2018-02-26 21:50:00.000,2018-02-27 07:02:00.000,15.95
45,94.57505,50004.0,2018-02-27 07:02:00.000,2018-02-26 21:50:00.000,UTC-0500,2018-02-27 07:32:09.493,2018-02-27 07:03:34.825,9.2,2018-02-26,Monday,2018-02,21,7,2018-02-27 22:17:00.000,2018-02-28 04:44:00.000,15.25
395,93.5567,,2018-02-28 04:44:00.000,2018-02-27 22:17:00.000,UTC-0500,2018-02-28 04:46:27.741,2018-02-28 04:46:27.741,6.45,2018-02-27,Tuesday,2018-02,22,4,2018-02-28 22:19:00.000,2018-03-01 05:15:00.000,17.583333333333332
340,94.230774,,2018-03-01 05:15:00.000,2018-02-28 22:19:00.000,UTC-0500,2018-03-01 05:15:46.956,2018-03-01 05:15:46.956,6.933333333333334,2018-02-28,Wednesday,2018-02,22,5,2018-03-01 22:09:00.000,2018-03-02 06:00:00.000,16.9
306,93.84289,50003.0,2018-03-02 06:00:00.000,2018-03-01 22:09:00.000,UTC-0500,2018-03-02 06:26:17.171,2018-03-02 06:00:57.857,7.85,2018-03-01,Thursday,2018-03,22,6,2018-03-02 22:55:00.000,2018-03-03 05:19:00.000,16.916666666666668
98,96.36363,50003.0,2018-03-03 05:19:00.000,2018-03-02 22:55:00.000,UTC-0500,2018-03-03 05:40:27.836,2018-03-03 05:20:10.002,6.4,2018-03-02,Friday,2018-03,22,5,2018-03-03 22:57:00.000,2018-03-04 06:26:00.000,17.633333333333333
224,93.11111,50003.0,2018-03-04 06:26:00.000,2018-03-03 22:57:00.000,UTC-0500,2018-03-04 06:45:45.843,2018-03-04 06:27:23.747,7.483333333333333,2018-03-03,Saturday,2018-03,22,6,2018-03-05 22:51:00.000,2018-03-06 06:20:00.000,16.416666666666668
421,94.654785,,2018-03-06 06:20:00.000,2018-03-05 22:51:00.000,UTC-0500,2018-03-06 06:20:04.267,2018-03-06 06:20:04.267,7.483333333333333,2018-03-05,Monday,2018-03,22,6,2018-03-06 21:46:00.000,2018-03-07 06:52:00.000,15.433333333333334
308,92.50457,50004.0,2018-03-07 06:52:00.000,2018-03-06 21:46:00.000,UTC-0500,2018-03-07 08:11:33.734,2018-03-07 07:07:12.323,9.1,2018-03-06,Tuesday,2018-03,21,6,2018-03-07 22:23:00.000,2018-03-08 04:30:00.000,15.516666666666667
4,92.66304,50003.0,2018-03-08 04:30:00.000,2018-03-07 22:23:00.000,UTC-0500,2018-03-08 08:39:58.387,2018-03-08 04:32:02.181,6.116666666666666,2018-03-07,Wednesday,2018-03,22,4,2018-03-08 22:26:00.000,2018-03-09 06:42:00.000,17.933333333333334
47,96.57258,50005.0,2018-03-09 06:42:00.000,2018-03-08 22:26:00.000,UTC-0500,2018-03-09 07:41:30.789,2018-03-09 06:42:36.968,8.266666666666667,2018-03-08,Thursday,2018-03,22,6,2018-03-09 22:30:00.000,2018-03-10 05:42:00.000,15.8
104,93.071594,,2018-03-10 05:42:00.000,2018-03-09 22:30:00.000,UTC-0500,2018-03-10 05:48:01.400,2018-03-10 05:48:01.400,7.2,2018-03-09,Friday,2018-03,22,5,2018-03-10 21:11:00.000,2018-03-11 05:36:00.000,15.483333333333333
100,93.04933,50003.0,2018-03-11 05:36:00.000,2018-03-10 21:11:00.000,UTC-0400,2018-03-11 07:21:32.812,2018-03-11 05:37:49.613,8.416666666666666,2018-03-10,Saturday,2018-03,21,5,2018-03-11 23:17:00.000,2018-03-12 05:00:00.000,17.683333333333334
304,96.22093,,2018-03-12 05:00:00.000,2018-03-11 23:17:00.000,UTC-0400,2018-03-12 05:06:49.636,2018-03-12 05:06:49.636,5.716666666666667,2018-03-11,Sunday,2018-03,23,5,2018-03-12 21:39:00.000,2018-03-13 05:51:00.000,16.65
